DEVNAME,T.INTTYPE||T.ININUM,PEERDEVNAME,T.PEERINTTYPE||T.PEERINTNUM
JCK72WA01-A1,GigabitEthernet0/1,JCK65RT0A-C1,GigabitEthernet3/1
JCK72WA01-A1,GigabitEthernet0/2,JCK65RT0B-C1,GigabitEthernet3/1
JCK72WA02-A1,GigabitEthernet0/1,JCK65RT0A-C1,GigabitEthernet3/2
JCK72WA02-A1,GigabitEthernet0/2,JCK65RT0B-C1,GigabitEthernet3/2
JCK31BL11-C1,FastEthernet0,JCK31BL12-C1,FastEthernet0
JCK31BL11-C1,GigabitEthernet1/0/23,JCK65RT0A-C1,GigabitEthernet2/41
JCK31BL11-C1,GigabitEthernet1/0/24,JCK65RT0A-C1,GigabitEthernet2/42
JCK31BL12-C1,FastEthernet0,JCK31BL11-C1,FastEthernet0
JCK31BL12-C1,GigabitEthernet1/0/23,JCK65RT0B-C1,GigabitEthernet2/41
JCK31BL12-C1,GigabitEthernet1/0/24,JCK65RT0B-C1,GigabitEthernet2/42
JCK31BL13-C1,GigabitEthernet1/0/23,JCK65RT0A-C1,GigabitEthernet2/43
JCK31BL13-C1,GigabitEthernet1/0/24,JCK65RT0A-C1,GigabitEthernet2/44
JCK31BL14-C1,GigabitEthernet1/0/23,JCK65RT0B-C1,GigabitEthernet2/43
JCK31BL14-C1,GigabitEthernet1/0/24,JCK65RT0B-C1,GigabitEthernet2/44
JCK65RT0A-C1,GigabitEthernet5/1,JCK65RT0B-C1,GigabitEthernet5/1
JCK65RT0A-C1,GigabitEthernet6/1,JCK65RT0B-C1,GigabitEthernet6/1
JCK65RT0A-C1,GigabitEthernet1/3,BF70SW0A-M2-WDC2,Ethernet7/10
JCK65RT0B-C1,GigabitEthernet2/41,JCK31BL12-C1,GigabitEthernet1/0/23
JCK65RT0C-C1,GigabitEthernet2/42,JCK31BL0C-C1,GigabitEthernet1/0/24
JCK65RT0C-C1,GigabitEthernet2/43,JCK31BL1A-C1,GigabitEthernet1/0/25
JCK65RT0B-C1,GigabitEthernet1/3,BF70SW0B-M2-WDC2,Ethernet7/10
JCK31BL13-C1,GigabitEthernet1/0/24,JCK65RT1A-C1,GigabitEthernet2/44
JCK31BL14-C1,GigabitEthernet1/0/23,JCK65RT1B-C1,GigabitEthernet2/43
JCK31BL14-C1,GigabitEthernet1/0/24,JCK65RT1B-C1,GigabitEthernet2/44
JCK65RT1A-C1,GigabitEthernet5/1,JCK65RT1B-C1,GigabitEthernet5/1
JCK65RT1A-C1,GigabitEthernet6/1,JCK65RT0B-C1,GigabitEthernet6/1
JCK65RT1A-C1,GigabitEthernet1/3,BF70SW1A-M2-WDC2,Ethernet7/10
JCK65RT1B-C1,GigabitEthernet2/41,JCK31BL12-C1,GigabitEthernet1/0/23
JCK65RT1C-C1,GigabitEthernet2/42,JCK31BL1C-C1,GigabitEthernet1/0/24
JCK65RT1C-C1,GigabitEthernet2/43,JCK31BL1A-C1,GigabitEthernet1/0/25
JCK65RT1B-C1,GigabitEthernet1/3,BF70SW1B-M2-WDC2,Ethernet7/10
